column,dtype,role,unique_values,example_value
customerID,str,identifier,7043,7590-VHVEG
gender,str,categorical predictor,2,Female
SeniorCitizen,str,categorical predictor,2,0
Partner,str,categorical predictor,2,Yes
Dependents,str,categorical predictor,2,No
tenure,int64,numeric predictor,73,1
PhoneService,str,categorical predictor,2,No
MultipleLines,str,categorical predictor,3,No phone service
InternetService,str,categorical predictor,3,DSL
OnlineSecurity,str,categorical predictor,3,No
OnlineBackup,str,categorical predictor,3,Yes
DeviceProtection,str,categorical predictor,3,No
TechSupport,str,categorical predictor,3,No
StreamingTV,str,categorical predictor,3,No
StreamingMovies,str,categorical predictor,3,No
Contract,str,categorical predictor,3,Month-to-month
PaperlessBilling,str,categorical predictor,2,Yes
PaymentMethod,str,categorical predictor,4,Electronic check
MonthlyCharges,float64,numeric predictor,1585,29.85
TotalCharges,float64,numeric predictor,6530,29.85
Churn,str,target,2,No
