column,dtype,missing_after_coercion,blank_strings,missing_percent
customerID,str,0,0,0.0
gender,str,0,0,0.0
SeniorCitizen,str,0,0,0.0
Partner,str,0,0,0.0
Dependents,str,0,0,0.0
tenure,int64,0,0,0.0
PhoneService,str,0,0,0.0
MultipleLines,str,0,0,0.0
InternetService,str,0,0,0.0
OnlineSecurity,str,0,0,0.0
OnlineBackup,str,0,0,0.0
DeviceProtection,str,0,0,0.0
TechSupport,str,0,0,0.0
StreamingTV,str,0,0,0.0
StreamingMovies,str,0,0,0.0
Contract,str,0,0,0.0
PaperlessBilling,str,0,0,0.0
PaymentMethod,str,0,0,0.0
MonthlyCharges,float64,0,0,0.0
TotalCharges,float64,11,0,0.1562
Churn,str,0,0,0.0
